price,crime_rate,air_qual,room_num,dist1,teachers,poor_prop,airport,n_hos_beds
24.0,0.00632,0.538,6.575,4.35,24.7,4.98,1.0,5.48
21.6,0.02731,0.469,6.421,4.99,22.2,9.14,0.0,7.332
34.7,0.02729,0.469,7.185,5.03,22.2,4.03,0.0,7.394
33.4,0.03237,0.458,6.998,6.21,21.3,2.94,1.0,9.268
36.2,0.06905,0.458,7.147,6.16,21.3,5.33,0.0,8.824
28.7,0.02985,0.458,6.43,6.22,21.3,5.21,1.0,7.174
22.9,0.08829,0.524,6.012,5.87,24.8,12.43,1.0,6.958
22.1,0.14455,0.524,6.172,6.04,24.8,19.15,0.0,5.842
16.5,0.21124,0.524,5.631,6.18,24.8,29.93,1.0,5.93
18.9,0.17004,0.524,6.004,6.67,24.8,17.1,1.0,9.478
15.0,0.22489,0.524,6.377,6.65,24.8,20.45,0.0,6.0
18.9,0.11747,0.524,6.009,6.27,24.8,13.27,0.0,9.278
21.7,0.09378,0.524,5.889,5.76,24.8,15.71,1.0,5.534
20.4,0.62976,0.538,5.949,4.72,19.0,8.26,1.0,5.908
18.2,0.63796,0.538,6.096,4.6,19.0,10.26,0.0,6.964
19.9,0.62739,0.538,5.834,4.6,19.0,8.47,1.0,8.498
23.1,1.05393,0.538,5.935,4.66,19.0,6.58,0.0,5.462
17.5,0.7842,0.538,5.99,4.56,19.0,14.67,0.0,5.45
20.2,0.80271,0.538,5.456,3.8,19.0,11.69,1.0,8.504
18.2,0.7258,0.538,5.727,3.98,19.0,11.28,0.0,8.564
13.6,1.25179,0.538,5.57,3.93,19.0,21.02,1.0,8.272
19.6,0.85204,0.538,5.965,4.11,19.0,13.83,1.0,9.192
15.2,1.23247,0.538,6.142,4.18,19.0,18.72,1.0,5.804
14.5,0.98843,0.538,5.813,4.35,19.0,19.88,1.0,7.49
15.6,0.75026,0.538,5.924,4.69,19.0,16.3,1.0,8.212
13.9,0.84054,0.538,5.599,4.69,19.0,16.51,1.0,9.378
16.6,0.67191,0.538,5.813,4.94,19.0,14.81,0.0,9.732
14.8,0.95577,0.538,6.047,4.5,19.0,17.28,1.0,8.696
18.4,0.77299,0.538,6.495,4.57,19.0,12.8,1.0,5.968
21.0,1.00245,0.538,6.674,4.53,19.0,11.98,0.0,9.02
12.7,1.13081,0.538,5.713,4.52,19.0,22.6,0.0,9.854
14.5,1.35472,0.538,6.072,4.39,19.0,13.04,1.0,9.29
13.2,1.38799,0.538,5.95,4.01,19.0,27.71,0.0,8.764
13.1,1.15172,0.538,5.701,3.8,19.0,18.35,1.0,8.362
13.5,1.61282,0.538,6.096,4.07,19.0,20.34,1.0,9.67
18.9,0.06417,0.499,5.933,3.69,20.8,9.68,1.0,9.478
20.0,0.09744,0.499,5.841,3.39,20.8,11.41,0.0,7.5
21.0,0.08014,0.499,5.85,3.98,20.8,8.77,1.0,8.12
24.2,0.17505,0.499,5.966,4.15,20.8,10.13,1.0,8.184
30.8,0.02763,0.428,6.595,5.65,21.7,4.32,1.0,6.916
34.9,0.03359,0.428,7.024,5.63,21.7,1.98,1.0,6.198
26.6,0.12744,0.448,6.77,5.77,22.1,4.84,0.0,7.732
25.3,0.1415,0.448,6.169,5.93,22.1,5.81,0.0,8.106
24.7,0.15936,0.448,6.211,6.04,22.1,7.44,1.0,6.094
21.2,0.12269,0.448,6.069,5.81,22.1,9.55,0.0,9.024
19.3,0.17142,0.448,5.682,5.23,22.1,10.21,0.0,8.086
20.0,0.18836,0.448,5.786,5.25,22.1,14.15,1.0,9.3
16.6,0.22927,0.448,6.03,5.83,22.1,18.8,1.0,5.332
14.4,0.25387,0.448,5.399,5.98,22.1,30.81,0.0,7.088
19.4,0.21977,0.448,5.602,6.11,22.1,16.2,0.0,5.988
19.7,0.08873,0.439,5.963,7.08,23.2,13.45,1.0,7.899767068273092
20.5,0.04337,0.439,6.115,7.04,23.2,9.43,1.0,7.01
25.0,0.0536,0.439,6.511,7.02,23.2,5.28,0.0,9.9
23.4,0.04981,0.439,5.998,6.89,23.2,8.43,0.0,9.168
18.9,0.0136,0.41,5.888,7.4,18.9,14.8,1.0,8.678
35.4,0.01311,0.403,7.249,8.9,22.1,4.81,1.0,7.508
24.7,0.02055,0.41,6.383,9.32,22.7,5.77,1.0,5.794
31.6,0.01432,0.411,6.816,8.63,24.9,3.95,1.0,7.432
23.3,0.15445,0.453,6.145,7.98,20.3,6.86,0.0,7.866
19.6,0.10328,0.453,5.927,7.26,20.3,9.22,1.0,6.192
18.7,0.14932,0.453,5.741,7.33,20.3,13.15,0.0,7.974
16.0,0.17171,0.453,5.966,6.84,20.3,14.44,0.0,6.22
22.2,0.11027,0.453,6.456,7.55,20.3,6.73,1.0,5.844
25.0,0.1265,0.453,6.762,8.23,20.3,9.5,1.0,5.9
33.0,0.01951,0.4161,7.104,9.44,21.4,8.05,1.0,8.26
23.5,0.03584,0.398,6.29,6.62,23.9,4.67,0.0,9.47
19.4,0.04379,0.398,5.787,6.7,23.9,10.24,0.0,8.988
22.0,0.05789,0.409,5.878,6.64,21.1,8.1,1.0,7.14
17.4,0.13554,0.409,5.594,6.51,21.1,13.09,0.0,8.848
20.9,0.12816,0.409,5.885,6.55,21.1,8.79,0.0,8.318
24.2,0.08826,0.413,6.417,5.52,20.8,6.72,1.0,9.784
21.7,0.15876,0.413,5.961,5.44,20.8,9.88,0.0,10.034
22.8,0.09164,0.413,6.065,5.46,20.8,5.52,0.0,5.856
23.4,0.19539,0.413,6.245,5.36,20.8,7.54,1.0,5.968
24.1,0.07896,0.437,6.273,4.54,21.3,6.78,0.0,7.882
21.4,0.09512,0.437,6.286,4.83,21.3,8.94,0.0,6.028
20.0,0.10153,0.437,6.279,4.33,21.3,11.97,0.0,7.3
20.8,0.08707,0.437,6.14,4.32,21.3,10.27,1.0,5.916
21.2,0.05646,0.437,6.232,5.34,21.3,12.34,1.0,8.824
20.3,0.08387,0.437,5.874,4.53,21.3,9.1,0.0,6.406
28.0,0.04113,0.426,6.727,5.5,21.0,5.29,1.0,6.46
